Sensor_ID,Timestamp,Raw_Value,Auth_Signature
Sensor_Alpha,1773037623,24.99,58a705b2a818a7835940b369aa0cc20ce561478b6c5f9029283206e1806b2fb8
Sensor_Alpha,1773037626,44.3,350c4090afc8a576f9538e8d6ac40b564c8638bf07da72947774c4027e823f2f
Sensor_Alpha,1773037628,27.34,5867a9e6f5cb1120c427c8dc0833c82b98831e8ea0df6a455a40ceb70cc3b28c
Sensor_Alpha,1773037630,21.07,abb27d20826864529cf57e97995b7c09647df64233575c0d30b2e381472b0a9e
Sensor_Alpha,1773037634,23.81,d308ae256e2134af81d50307e78f9b8f38d6080f041c757d7521df4eb49a5d58
Sensor_Alpha,1773037636,26.66,ac8c11519f6cc46f554f2f848144aada478756ba00b7bd762f719388e349487d
Sensor_Alpha,1773037641,37.64,4e6f23f8c749af87548572b3c4916c1e25b171a086529d4912ae7b1de694daf3
Sensor_Alpha,1773037645,39.53,bcaf626a7300bf5afe167fdf89bfe595c3fb78817052915780855dd9a2174dbd
Sensor_Alpha,1773037647,38.17,c58c78551e880ff29a7ed244d4adc8097dadc679351f22c52583c24c54928043
Sensor_Alpha,1773037651,24.13,5505d3bbeb5d7213c755df4f7a6364faf583ac6cd145e506fd7406bd673db0d0
Sensor_Alpha,1773037656,36.67,b4af6fdc72bf71e0a3da3c8f138fbde60ef0568b2dc326737a7e07753073eb9c
Sensor_Alpha,1773037659,37.85,db50df0ebebf63fdc64117314bf345718e69089026f83911d757c115c445d97b
Sensor_Alpha,1773037664,35.74,2781f9bbfcfcabd6ba49e19ff0d12ff5138eea0510e0ef88f4aef0538293053c
Sensor_Alpha,1773037666,41.36,c5083fcb878b3c52a1ba6bd1a662b9589fc2e2eeabb2d4e1b41055a5913da229
Sensor_Alpha,1773037668,35.67,585194357fb3f46083f80b6cbb77f164044c463ad9afdf50305fcea94267a834
Sensor_Alpha,1773037671,40.42,67b07d9b59ccd7d422d20aafcfd193a81589099f35b04c9163b2436adca31039
Sensor_Alpha,1773037675,20.95,f2fb531f1323cd908403845e5ed2a4a099180786eb202a4f03d6e50cbc00171d
Sensor_Alpha,1773037678,34.23,f64966cc3dae053c83de420fe272f25604a6f470ffd38982fdf12d4ee0add7b1
Sensor_Alpha,1773037682,43.21,a3c2f8eea31947b79d806916ce63b75b0a6901b820b67eff7ee1f3f8d993a68e
Sensor_Alpha,1773037683,28.89,70b99dfae0428a50b8369fdbc76564bcab70ddd35d1dee251074b31960aa4263
Sensor_Alpha,1773037685,22.38,5fb0f48bd3d8ec45760721edbb0a208f72d8c1602ee1dfe9b7e7962eaa9f76f8
Sensor_Alpha,1773037689,28.69,7dfd516c1ad4febdf0c702ce0f669156da58a793d83c660ed278d09fffe25d76
Sensor_Alpha,1773037691,20.57,819de21f8866b28062aac3501f8aebc5795385147e72d8552cdcacf05b8515a5
Sensor_Alpha,1773037695,32.67,73a70b3f38bc08dce259f7155fb79d05bc4c906d827e8569cfcaa9c5d8f98ac0
